label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
a,0.0,0.0,0.0,-0.23084529981324425,-0.12181670158575034,-0.06855055525711713,-0.3668629052231363,-0.4932773791275361,-0.0848924733125983,-0.4218686200156634,-0.815903146399095,-0.09726117114315262,-0.5025300298541431,-1.0,-0.08071882614121142,-0.24612358427101672,-0.7792349708487011,-0.03271669339611962,-0.3004374368276961,-0.9899974396390728,-0.14559990035695447,-0.2906319238518538,-0.6874640210719378,-0.1881738365311728,-0.24074651255413573,-0.6094535470202754,-0.206516709858571,-0.10655745249108058,-0.7659293566298288,-0.03374978674093832,-0.1738945265173067,-0.9415967866633644,-0.1448513634651657,-0.1738769554129042,-0.5973391072540213,-0.13488883489120307,-0.12419716787265803,-0.5807105670948438,-0.104974944807665,0.040242431037598815,-0.7321934637165062,-0.05581759692740958,-0.022870256638530588,-0.9147799344681478,-0.15953178586614833,-0.04704495859913115,-0.5976624992469527,-0.09139367735160951,0.0014908245366248754,-0.5717020292115427,-0.025168648976367693,0.18870801342767063,-0.6857456088973379,-0.08648707064773115,0.1192958756434371,-0.8191142657286486,-0.13551344581674843,0.08188050979630906,-0.6087517487432477,-0.08929800938189204,0.12249088812728842,-0.5697363664964222,-0.04467083605591626
a,0.0,0.0,0.0,-0.22627835443242206,-0.13089825500558738,-0.06754715103024586,-0.3626779548522491,-0.5031801802666321,-0.08594431460366019,-0.4238397047839423,-0.8115897020685434,-0.10114033265837373,-0.48907993111428477,-1.0,-0.0874868391210758,-0.23184634575326904,-0.7870050605544496,-0.03384814463951505,-0.3086911851192345,-0.9786492667421214,-0.15042012319408554,-0.29426719714839883,-0.6729762343016991,-0.19846946236090415,-0.23489718867108167,-0.5974714838299842,-0.22054118674886644,-0.09834953310429778,-0.7761512684919982,-0.0347958254410544,-0.18356370636868072,-0.94346718791077,-0.14764647504882952,-0.17951391301844477,-0.5920170647265678,-0.138654827088537,-0.12071746005700967,-0.5804373384535387,-0.10989565523563422,0.04518444834641699,-0.7411844179761304,-0.05608663867718454,-0.028343069927690246,-0.9220955750808846,-0.1580039291034895,-0.05368011420071364,-0.599789959941803,-0.08650695579781141,-0.000534432681465362,-0.5777706585701733,-0.019057834859428614,0.1887549163219516,-0.6922444938828654,-0.08646112355547086,0.11245146949478713,-0.8222045390291399,-0.13299399812523832,0.07405646743161123,-0.6130006127838027,-0.08387506201957588,0.11921623992020207,-0.5758415126596114,-0.03755778814402256
a,0.0,0.0,0.0,-0.2300886273940869,-0.11910426433569958,-0.06080193099444114,-0.3629886027756497,-0.48934821539796014,-0.06828241478703126,-0.41117238343914775,-0.8152359253293111,-0.07399365883226186,-0.49050608793648626,-1.0,-0.05145031717069384,-0.24374752400042565,-0.7816191585922172,-0.004190228059067444,-0.3099958098664942,-0.9886793958168245,-0.10883401443961849,-0.28880538548973195,-0.6980763440896417,-0.1479807728709231,-0.2306622073933462,-0.6247569656250915,-0.16348444538469817,-0.1070450050129586,-0.7718990078861638,-0.005797890979966968,-0.18208267489471358,-0.9500197773893376,-0.11057144814557478,-0.17604223066914504,-0.6103344179525031,-0.1000199915819148,-0.12202195213698339,-0.5911438717588573,-0.06800960210150665,0.032435734707313514,-0.7388836737523488,-0.028928948969165053,-0.034996949986823574,-0.9197344065461985,-0.13038927732177943,-0.05872022691812365,-0.6083110742055606,-0.06495316777758985,-0.007574888051406317,-0.5796233001622083,0.002258161486534155,0.17381922558130067,-0.6960847298659596,-0.05985287009140666,0.10777406987861264,-0.8360953832319366,-0.10627834034895756,0.07083825217462011,-0.6302260743835928,-0.05949887803276561,0.11220273594190824,-0.5890748211745495,-0.012973677534826344
a,0.0,0.0,0.0,-0.23106946612667997,-0.10115623382836231,-0.07017669697133636,-0.37399461227532327,-0.48082360835549065,-0.0840290600614606,-0.4256428034649456,-0.8074392131645788,-0.0936982266208523,-0.4996663413945458,-1.0,-0.07274933473272327,-0.2577638009894405,-0.7738545837077667,-0.029286056679186212,-0.31810893107101995,-0.9801242372800953,-0.14231797718313263,-0.2913271298043624,-0.6735419376195781,-0.1824438974197406,-0.23692323238372603,-0.6032784260410329,-0.19909957161747044,-0.11467030773870843,-0.7613280569482437,-0.02952091040500291,-0.189972295788328,-0.9459695326731781,-0.1455762036299479,-0.17508479353349557,-0.590912322956422,-0.13350616145982203,-0.12387012700224748,-0.5802745560128162,-0.09882734015296486,0.030451479967569514,-0.730300430633122,-0.05133270660272514,-0.040941274336111985,-0.9138913833964275,-0.15854518176612525,-0.05572906489050184,-0.5888678729415682,-0.08505046185567439,-0.005749732687234443,-0.5705421178003702,-0.012534064123760553,0.17884862724566133,-0.6929709013680466,-0.08205727790672677,0.10461743378304442,-0.8235034987076068,-0.13214536429307494,0.07373623651821148,-0.6112919950644252,-0.08278426521288193,0.11620189592177087,-0.5837902938428694,-0.034499964387929676
a,0.0,0.0,0.0,-0.2307134823499518,-0.1306885001042454,-0.05694612588838579,-0.36240758401527196,-0.4973730975215658,-0.06754428244501384,-0.4216294532329103,-0.8117964453949598,-0.07658482168688921,-0.49766129938625525,-1.0,-0.05820562835484809,-0.23922403963931094,-0.7830669646347502,-0.015224000383854372,-0.3064232265252404,-0.9720136748781631,-0.12038879463765281,-0.2916586582314769,-0.6846259219202001,-0.16134018248589757,-0.23455620781319225,-0.6153511929582237,-0.17969103664659186,-0.10593469840504548,-0.7747368007414454,-0.01835244702263268,-0.18645734245914883,-0.9406514889174116,-0.1222529954664037,-0.18148685286414218,-0.6030693753094785,-0.11200311040102229,-0.12270090041958771,-0.5904758395011858,-0.08311836228599075,0.03598135636287821,-0.7427457829480597,-0.041166288011351373,-0.03592801204034297,-0.9257426669880899,-0.13724413715299644,-0.0603588973443486,-0.6134772191238175,-0.07084988071787941,-0.007720267259127988,-0.5904247348257798,-0.0070471600607180844,0.17727662166740507,-0.6989426625902374,-0.07186738676696271,0.10936095130437049,-0.8357143497042037,-0.11469886930341602,0.06809708178051133,-0.6318305165359256,-0.06827113065272604,0.10912578835578952,-0.5923186618800657,-0.02455829606980535
a,0.0,0.0,0.0,-0.2422051401907228,-0.14616680052524902,-0.060520092260676596,-0.3808458472856791,-0.5135319547116087,-0.07598799281039788,-0.44781541418165993,-0.8148736335130117,-0.08910635650799266,-0.5218586603610827,-1.0,-0.0744112948581009,-0.24645874307796303,-0.794367084141096,-0.02774730099870246,-0.32518144970802043,-0.9666800578150576,-0.14016210898666884,-0.3155950520958699,-0.6599598773403254,-0.18729196390837083,-0.2589562077706679,-0.6044305903486181,-0.21043242908449017,-0.10891394471384858,-0.7838896126410184,-0.02801270812858436,-0.20385849171090736,-0.9318723121378293,-0.1360928283621934,-0.20380897585012014,-0.5789781682665333,-0.12655249478399638,-0.14325552183845197,-0.5858917674273876,-0.09908876197792939,0.03873494593513401,-0.7459585588218273,-0.04725848766852488,-0.04588554408779035,-0.9162967172359738,-0.1426757398672989,-0.0729436343393341,-0.5916603652090981,-0.06838976810213146,-0.014646114480881746,-0.5782970077713451,-0.000953369627520193,0.18358470920594017,-0.6965464908966466,-0.0747743252055044,0.09891639617217003,-0.8233820031218269,-0.11530627102965094,0.060379725286427564,-0.6121154942640424,-0.06294029898516326,0.11241518160523861,-0.5777220736099824,-0.015329277918386357
a,0.0,0.0,0.0,-0.2482707620763635,-0.11925379262676784,-0.08246844828203553,-0.39385443114523166,-0.4923190062832534,-0.1079682402185012,-0.4650093960253895,-0.8067703343410743,-0.12531280117017188,-0.5380505309157869,-1.0,-0.11323772284784939,-0.26641109418644837,-0.7795600020076694,-0.0641774718714875,-0.33327378131925545,-0.9799185523023303,-0.18490263409360602,-0.3197635814522304,-0.6513654473465488,-0.23007367514314836,-0.2694484680133824,-0.5707983161225801,-0.24927773483637738,-0.12178593247288043,-0.7664610648121226,-0.054925011840801986,-0.20362543522535537,-0.9316027061083784,-0.17365541536797638,-0.2013492290041009,-0.5607986632636524,-0.1646910499518062,-0.1520066633397138,-0.5544444338803496,-0.1353906713248177,0.032701794542455906,-0.7308871753926951,-0.06464238801480766,-0.03916591508044939,-0.9121277602966574,-0.17427284832829154,-0.06707008734025154,-0.5706196600803466,-0.09571058116984905,-0.01740658201583715,-0.5484072747502188,-0.02193837367655473,0.182930299600434,-0.6879367592987927,-0.0831649898835764,0.10942350923362086,-0.8229390378266581,-0.13389984414070888,0.06796005091697203,-0.5915633221798602,-0.07654987956236478,0.1096558947539024,-0.5457336251676835,-0.022787938227326544
a,0.0,0.0,0.0,-0.24378376317189085,-0.11851803078361042,-0.08340673359608504,-0.38589286636706444,-0.4897703145468932,-0.10941787872670598,-0.4554689161000628,-0.8048346501067364,-0.12650108486099226,-0.5301135291677669,-1.0,-0.114057422399709,-0.2590695968893154,-0.7791278058336198,-0.07190780810934222,-0.3257856356305426,-0.9831968673230248,-0.19624489046138618,-0.31106823477873574,-0.6575208611979612,-0.24358426051184678,-0.25579490037681957,-0.5820131790406121,-0.26484922538274003,-0.11360387988685437,-0.7644999708467544,-0.06200488426050191,-0.19767130968129407,-0.9311384819073627,-0.18237494286850206,-0.19357477984865587,-0.5602477870691278,-0.17242734000798116,-0.1403051491282736,-0.5606120363664016,-0.1435093571775801,0.04178314108818535,-0.7288773650431967,-0.07110888585938561,-0.03433343376238487,-0.911023407506728,-0.18088685257901585,-0.06171642338671148,-0.5698302261294222,-0.10131108717329912,-0.00975979720869312,-0.5533565362130975,-0.028210804594657964,0.19145679101024754,-0.6872337826480326,-0.08923470849635987,0.11301926309019526,-0.821044076381947,-0.14186944554184358,0.07196750266646891,-0.5894251977598779,-0.0866368550176904,0.11639527544496388,-0.5473545147736012,-0.03504729785438323
a,0.0,0.0,0.0,-0.24094564359816148,-0.12469634546057598,-0.07453789230201596,-0.38175527667503834,-0.4937977993877142,-0.09621587427518931,-0.4483595155265163,-0.8048051326773042,-0.11061727745941069,-0.5136384176562878,-1.0,-0.09470895698847571,-0.25848316733322174,-0.7771652422362119,-0.05225983916473734,-0.32527259080061766,-0.9639560988438522,-0.17131590788826412,-0.30681561007730795,-0.6506509710956176,-0.22009722722318106,-0.2501051269850238,-0.580106974591123,-0.24354751448193887,-0.11731652121317866,-0.7661432065389355,-0.046266531065767134,-0.19991903605630332,-0.9365131591848866,-0.16190040438486164,-0.19225374977646933,-0.5756521556623508,-0.15285370659120862,-0.1369865830724725,-0.5703896053235648,-0.1244054354809309,0.03287933245345024,-0.7325965946594961,-0.05937716064152052,-0.03984850690000847,-0.9157077152871862,-0.15901990644494773,-0.06140878746053167,-0.590155068530498,-0.08081347907595472,-0.00974577766885535,-0.5745539801495236,-0.010208599617677498,0.1818593489451632,-0.689882231276399,-0.08190442661167961,0.1049968151850113,-0.8207163814396042,-0.12438779948180478,0.06915834493078049,-0.606471879021763,-0.07002367940924463,0.11506356538792467,-0.5752183975350835,-0.0209803674359197
a,0.0,0.0,0.0,-0.23871596432477762,-0.135824346339209,-0.06833226561645665,-0.37728980381003163,-0.5085046901621233,-0.08445325964619534,-0.4434301355986773,-0.8145697155106536,-0.09548998595820953,-0.5110853557118978,-1.0,-0.0768920408191187,-0.25318529528604083,-0.783828352389006,-0.040687359814195766,-0.3189706861420752,-0.9830054663236667,-0.1584293340609882,-0.30300205583654605,-0.6692468019790158,-0.20592415841347816,-0.25040080646991464,-0.5906861887361028,-0.22746698918990058,-0.11492917406612994,-0.7715556890339901,-0.03791288254345929,-0.19669740559069615,-0.942274005916177,-0.15285110378566136,-0.18946358848994532,-0.5841521789894905,-0.1455521072493843,-0.1379088157062264,-0.5772287628776113,-0.11782043803439658,0.03459947667687056,-0.7376875158143312,-0.05455164347722012,-0.03920299800482262,-0.9215880653311895,-0.1566369062119854,-0.061222909904813896,-0.5943119522514836,-0.08308275497257663,-0.010431466918805168,-0.5767131600050818,-0.014383891732685969,0.18351262781638258,-0.6923737435759084,-0.0798641475202805,0.10456324449311317,-0.8264122502661262,-0.1275864569842338,0.06967531865678558,-0.6098761174488623,-0.07713630131713041,0.1151995951531209,-0.5715026228724488,-0.02948331376858983
